"date","value","u10","v10","d2m","t2m","blh","sp","ssrd","tcc","tp","rh2m","date_unix","day_julian","weekday","hour","set"
2020-06-09 01:00:00,2.5,-1.71606565631788,-0.765308360015286,278.243387848604,282.579731115088,293.552985680676,101318.145705456,0,1.00000184774399,0,74.324046826271,1591664400,161,"Tue",1,"training"
2020-06-09 02:00:00,1.1,-1.26013631855459,-0.783519165127309,278.366624933992,281.654308099813,253.694256095592,101282.371829961,0,1.00000184774399,0,79.796527692656,1591668000,161,"Tue",2,"training"
2020-06-09 03:00:00,2.7,-1.06294303354899,-0.856362385575404,278.048240186276,281.843923001088,218.076581597108,101253.068266775,0,0.998842124544554,0,77.0511453277388,1591671600,161,"Tue",3,"training"
2020-06-09 04:00:00,2.9,-0.937806072453105,-0.76859946937288,278.234833430529,281.971428975162,193.816308855961,101262.800472067,534.260464193765,1.00000184774399,0,77.3894123746182,1591675200,161,"Tue",4,"training"
2020-06-09 05:00:00,7.2,-0.802155555199575,-0.819063146189332,278.705059099072,282.146795357843,187.598490805267,101278.949516012,43517.9432652253,0.999421986144271,0,79.0188109089055,1591678800,161,"Tue",5,"training"
2020-06-09 06:00:00,5.7,-1.09038085083846,-0.745781111160224,279.26082894836,282.999149047,211.175881795182,101297.397927142,134245.083911922,0.999421986144271,0,77.5421544392332,1591682400,161,"Tue",6,"testing"
2020-06-09 07:00:00,3.4,-1.46502244952921,-0.586710825543149,278.608821895731,284.235116698272,273.425944591724,101322.316650581,372573.820075382,1.00000184774399,0,68.25346087654,1591686000,161,"Tue",7,"training"
2020-06-09 08:00:00,3.6,-1.46707387512094,-0.552702695514671,277.820478805037,285.163462486591,406.156592344399,101333.385697258,623190.546915295,0.996522678145684,0,60.759520297998,1591689600,161,"Tue",8,"training"
2020-06-09 09:00:00,5.6,-1.52502664808748,-0.364012425679245,277.690291254964,286.131631057644,660.188603802806,101338.89348377,1090765.59135092,0.980927453016446,0,56.5010488756674,1591693200,161,"Tue",9,"training"
2020-06-09 10:00:00,3.9,-1.14038434963702,0.145012488295394,278.401644582986,287.46953041885,898.981569865294,101317.450547935,1537261.63201746,0.864970392588775,0,54.4243355950541,1591696800,161,"Tue",10,"training"
2020-06-09 11:00:00,4.2,-0.912932537153309,0.117147762401092,278.90902850504,288.645215876075,1085.08481764849,101298.841715839,1838244.5498909,0.852869596573623,0,52.2617200699521,1591700400,161,"Tue",11,"training"
2020-06-09 12:00:00,7.1,-0.331866238294141,-0.361160130902663,279.026384428001,289.232327911427,1477.31053086943,101276.489727861,1685251.78059909,0.891674545207334,4.15940967565679e-06,50.7450114546586,1591704000,161,"Tue",12,"training"
2020-06-09 13:00:00,8.9,-0.246219219839171,-0.596584153615933,279.224205345978,289.66453297541,1607.99253336841,101229.646805689,1232733.1674271,0.996278525893172,1.00354011222195e-05,50.0457280193892,1591707600,161,"Tue",13,"training"
2020-06-09 14:00:00,6.7,0.0022597049598285,-0.57003587146467,279.194799533847,290.055819216767,1653.88937528018,101178.419043769,1376109.24836342,1.00000184774399,1.6505593951019e-05,48.7176317684765,1591711200,161,"Tue",14,"training"
2020-06-09 15:00:00,6.9,-0.0282552507172415,-0.331759553974817,278.895929552363,290.171268752033,1743.1312378228,101140.666643022,1136954.83693712,0.984971224698685,0,47.372606932892,1591714800,161,"Tue",15,"testing"
2020-06-09 16:00:00,7.8,-0.0074845666009164,0.108810285361852,278.931483852486,290.324348990248,1707.94485706193,101118.26118139,893720.618329696,0.989610117496423,2.77293978377105e-06,47.0310291647281,1591718400,161,"Tue",16,"training"
2020-06-09 17:00:00,8.7,0.0707260340840111,0.670712356348512,279.502758584535,290.024034059906,1326.5014872815,101103.44897883,659180.274548701,0.991334442779793,8.5829088545316e-07,49.8645257898138,1591722000,161,"Tue",17,"training"
2020-06-09 18:00:00,8.4,0.160219475523486,1.33946577781174,279.601134392393,289.69558743901,677.260647583613,101096.550877277,479085.928982345,0.965835791908015,0,51.2624776200779,1591725600,161,"Tue",18,"training"
2020-06-09 19:00:00,10.9,0.204325125745806,1.53342182261932,279.846271935346,288.980604082953,512.758027826237,101082.861621483,270238.656615751,0.997743439408247,0,54.5676984026405,1591729200,161,"Tue",19,"training"
2020-06-09 20:00:00,9.6,-0.110825130784608,1.64948827929716,280.045696806712,287.803822585836,376.828618186212,101093.930668161,57360.1462011507,0.997743439408247,0,59.6664199032319,1591732800,161,"Tue",20,"testing"
2020-06-09 21:00:00,8.2,-0.441873935650974,1.69819669778956,280.295913535396,287.038056048128,298.51286366331,101095.320983202,1019.95179527882,0.997743439408247,0,63.7844870496728,1591736400,161,"Tue",21,"training"
2020-06-09 22:00:00,8.2,-0.683942155475799,1.8767942322617,281.243048011601,286.541915323792,291.037105544557,101117.405602902,0,0.987351709160682,0,70.2751453236897,1591740000,161,"Tue",22,"testing"
2020-06-09 23:00:00,12.2,-1.01883738332667,2.30266378313444,281.480967764303,286.084866688929,296.679865278424,101101.256558957,0,1.00000184774399,0,73.5839466150921,1591743600,161,"Tue",23,"testing"
2020-06-10,12.3,-0.989604568644434,2.76561316610276,281.825283091808,285.66142994408,327.661132097488,101065.536157117,0,0.996537937661466,1.18840276447331e-06,77.4402449065392,1591747200,162,"Wed",0,"testing"
2020-06-10 01:00:00,10.3,-0.666248609747078,3.06071597183374,282.155162838813,285.262836770111,340.887473384513,101015.80565755,0,1.00000184774399,1.71658177090597e-05,81.2884871843166,1591750800,162,"Wed",1,"training"
2020-06-10 02:00:00,10,-0.0982601490352259,3.1252217152426,282.371429220763,285.079067414926,332.656951224924,100942.279381309,0,0.996278525893172,3.97454702340543e-05,83.4874693873127,1591754400,162,"Wed",2,"training"
2020-06-10 03:00:00,9.3,0.123550243071208,3.00586414920717,282.700506991073,285.045090178281,318.244552159443,100910.997292872,0,0.995118802693737,4.67438420692864e-05,85.5480248721213,1591758000,162,"Wed",3,"training"
